Player,Z_FG%,Z_FT%,Z_3PT,Z_REB,Z_AST,Z_STL,Z_BLK,Z_TOV,Z_PTS,Z_AVG
Anthony Davis,0.9386220604686499,0.8063207985424977,-0.5735205667330318,1.8139643966354237,-0.08085677405413232,1.473960362594594,3.4314134934585425,-0.489550556193306,1.8945705509814645,1.0238804184111892
Stephen Curry,0.1992836121986618,2.099863350813005,3.1466128391028483,-0.27876771093265296,1.1187986273424915,1.473960362594594,-0.727875589521509,-1.240779031170246,1.9297284364090947,0.8578694329818098
Karl-Anthony Towns,0.9386220604686499,0.8113638494285427,0.9765350190319183,2.4457325800522023,0.11108809016932766,-0.23828788049689956,1.5408275466494283,-1.240779031170246,1.8066758374123872,0.7946420079494789
James Harden,-0.8815766573534022,1.5652999568922494,2.319916526694875,0.03711638077573571,1.8385918681804658,2.0447097769584257,0.21741738388304827,-3.1188502186125984,2.527412488678821,0.7277819451219578
Nikola Jokic,0.9348690734215942,0.8517082565169015,-0.26350944958004147,2.0903629768802654,2.0785229484597907,0.9032109482307634,0.21741738388304827,-1.616393268658717,1.3320443841393683,0.7253592503658859
Kawhi Leonard,0.00037529870470557876,1.5148694480318008,0.45984982377693495,0.5899135412654168,0.446991602560382,2.330084484140342,-0.3497584001596861,-0.7399600478522863,1.912149493695279,0.6849461382403209
Damian Lillard,-0.45373613398904356,1.860318433725874,2.5265906047968683,-0.6341373141045915,2.0305367324039247,0.04708682668501571,-0.727875589521509,-1.240779031170246,2.5625703741064525,0.6633972114369717
Jayson Tatum,-0.5513137972124937,0.6651153737332417,1.5965572533378989,0.4714570068747706,0.15907430622519247,1.473960362594594,0.595534573244871,-0.36434581036381636,1.8769916082676488,0.6581145418557676
Kevin Durant,1.0624706330214906,1.703983856258483,0.45984982377693495,0.3135149610205766,1.0228261952307618,-0.5236625876788148,1.1627103572876056,-1.1155742853407562,1.701202181129494,0.643035681633975
Giannis Antetokounmpo,1.8280799906208696,-1.8160656622008302,-0.36684648863103825,2.8011021832241396,0.9748399791748963,0.6178362410488476,1.1627103572876056,-2.1172122519766776,2.3516230615406664,0.6040074900098309
Kyrie Irving,0.2218015344809965,1.7014623308154608,1.183209097133912,-0.4367097567868483,1.4547021397335458,1.1885856554126781,-0.727875589521509,-0.7399600478522863,1.5781495821327851,0.6025961050609705
Paul George,-0.9078475666827927,0.9525692742377988,1.906568370490889,0.3135149610205766,0.20706052228105726,2.330084484140342,-0.3497584001596861,-0.9903695395112667,1.4375180404222616,0.5443711273599088
Luka Doncic,-0.23606288525980845,-0.15438039524904829,1.6998942923888953,1.419109281999938,2.318454028739115,0.6178362410488476,-0.727875589521509,-2.8684407269536183,2.5449914313926367,0.512613964287272
Joel Embiid,0.06042309145759802,0.4180058803170435,-0.36684648863103825,2.6431601373699456,0.015115658057597247,-0.5236625876788148,2.297061925373074,-1.8668027603176962,1.6836232384156782,0.484453121595932
Kristaps Porzingis,-1.0579670485650237,0.1103797762683069,0.9765350190319183,1.3796237705363894,-0.8006500148921066,-0.5236625876788148,3.0532963040967194,0.13647317295414438,1.0332023580045047,0.4785811944173376
Jimmy Butler,-0.18352106660102754,1.0483872410726511,-0.47018352768203453,0.03711638077573571,0.8788675470631668,2.330084484140342,-0.3497584001596861,0.0112684271246542,0.9277287017216127,0.46999886527282375
Chris Paul,-0.2548278204950873,1.5476492787910923,0.35651278472593867,-0.35773873385975063,1.9345643002921953,2.0447097769584257,-0.9169341842024206,-0.489550556193306,0.2773078213104393,0.46018807414750296
Shai Gilgeous-Alexander,0.04541114326937492,0.5113023217088734,0.04650166757294882,0.1160874037028334,1.1187986273424915,0.6178362410488476,0.21741738388304827,-0.11393631870483598,1.2089917851426595,0.4187122505518046
Rudy Gobert,3.0928366254786663,-2.353150581564608,-1.6068909572429981,2.840587694687689,-0.8006500148921066,-0.5236625876788148,2.8642377094158085,0.13647317295414438,-0.12700786110731702,0.3914192444500515
Khris Middleton,0.12047088421049046,1.6258165675247878,1.2865461361849082,0.1950584266299304,0.15907430622519247,0.33246153386693167,-1.105992778883332,-0.489550556193306,1.3847812122808143,0.3898517479829353
Robert Covington,-0.8553057480240118,0.4608718128484247,1.183209097133912,0.3135149610205766,-0.9925948791155667,2.0447097769584257,1.1627103572876056,0.3868826646131242,-0.1973236319625787,0.3896304900844346
